file,dataset,salience_type,token_budget,bert_score_f1,rouge1,rouge2,rougeL,avg_tokens_before,avg_tokens_after,percentage_reduction,avg_cost_usd,total_cost_usd,rouge1_mean_diff,rouge1_ci_low,rouge1_ci_high,rouge1_p_value,rougeL_mean_diff,rougeL_ci_low,rougeL_ci_high,rougeL_p_value
data/processed/summaries/govreport_full_pairs_full_summaries.json,govreport,None,,0.833674431,0.444871137,0.135649704,0.187304121,9208.601233,510.5858171,94.45533796,0.009208601,8.959969,,,,,,,,
data/processed/summaries/govreport_salience_tfidf_budget_4096_summaries.json,govreport,tfidf,4096,0.843279362,0.48716787,0.161320725,0.191741004,9207.36074,3589.788284,61.01175587,0.003589788,3.492864,-0.042341768,-0.047168404,-0.037727105,0,-0.004405403,-0.00645684,-0.002449865,0
data/processed/summaries/govreport_salience_cosine_budget_4096_summaries.json,govreport,cosine,4096,0.843873322,0.48485658,0.158787599,0.191408001,9207.36074,3539.693731,61.55582658,0.003539694,3.444122,-0.040004807,-0.044568408,-0.035195138,0,-0.004029407,-0.006174335,-0.001942703,0
data/processed/summaries/govreport_salience_hybrid_budget_4096_summaries.json,govreport,hybrid,4096,0.487560113,0.487560113,0.162217084,0.192655709,9207.36074,3545.25591,61.49541644,0.003545256,3.449534,-0.042723459,-0.047152825,-0.038048738,0,-0.005316297,-0.007431838,-0.003278194,0
data/processed/summaries/govreport_first_k_budget_4096_summaries.json,govreport,first_k,4096,0.843576252,0.484687619,0.152263562,0.189902861,9207.36074,3779.848921,58.94753092,0.003779849,3.677793,-0.03988575,-0.043875518,-0.036231733,0,-0.002579573,-0.004457895,-0.000669341,0.006
data/processed/summaries/govreport_random_k_budget_4096_summaries.json,govreport,random_k,4096,0.838010013,0.464483696,0.138880606,0.181723952,9207.36074,3620.528263,60.67789277,0.003620528,3.522774,-0.019629526,-0.024046621,-0.015122992,0,0.005609344,0.003867721,0.00742684,0
data/processed/summaries/govreport_lead_n_budget_4096_summaries.json,govreport,lead_n,4096,0.843659937,0.485757678,0.152993589,0.19011352,9207.36074,3761.081192,59.15136489,0.003761081,3.659532,-0.040948785,-0.044814863,-0.037275968,0,-0.002773392,-0.004591584,-0.000974477,0.002
data/processed/summaries/cnn_dailymail_full_pairs_full_summaries.json,cnn_dailymail,None,,0.881580949,0.437456684,0.208237686,0.302759719,856.0677981,87.56292428,89.77149655,0.000428034,4.9181095,,,,,,,,
data/processed/summaries/cnn_dailymail_salience_tfidf_budget_512_summaries.json,cnn_dailymail,tfidf,512,0.870728254,0.388697693,0.167889608,0.262401134,854.2174064,360.5254134,57.79465383,0.000180263,2.0712185,0.04874705,0.046558936,0.050820871,0,0.040350357,0.038420297,0.042156269,0
data/processed/summaries/cnn_dailymail_salience_cosine_budget_512_summaries.json,cnn_dailymail,cosine,512,0.857657909,0.326082204,0.116828635,0.21220344,854.2174064,290.0677111,66.04287048,0.000145034,1.666439,0.111332632,0.10874198,0.113923192,0,0.090492551,0.088241709,0.092908798,0
data/processed/summaries/cnn_dailymail_salience_hybrid_budget_512_summaries.json,cnn_dailymail,hybrid,512,0.859824181,0.336398013,0.125756911,0.220860939,854.2174064,295.9250653,65.35717219,0.000147963,1.7000895,0.101031133,0.098498461,0.103562581,0,0.0818645,0.079684985,0.084187208,0
data/processed/summaries/cnn_dailymail_first_k_budget_512_summaries.json,cnn_dailymail,first_k,512,0.880933046,0.434677439,0.206186652,0.300728035,854.2174064,454.2005222,46.82846325,0.0002271,2.609382,0.002777469,0.001465412,0.003999421,0,0.002038273,0.000803999,0.003289821,0.002
data/processed/summaries/cnn_dailymail_random_k_budget_512_summaries.json,cnn_dailymail,random_k,512,0.852917016,0.304204567,0.098912593,0.194511556,854.2174064,284.3868581,66.70790644,0.000142193,1.6338025,0.133151167,0.130542735,0.135760461,0,0.108147973,0.105870655,0.11044659,0
data/processed/summaries/cnn_dailymail_lead_n_budget_512_summaries.json,cnn_dailymail,lead_n,512,0.880929053,0.434494794,0.206044799,0.300562678,854.2174064,453.5074848,46.90959452,0.000226754,2.6054005,0.002955688,0.001673899,0.004201171,0,0.002197123,0.000986652,0.003385091,0.002
data/processed/summaries/arxiv_full_pairs_full_summaries.json,arxiv,None,,0.855075717,0.480743533,0.197482353,0.271549813,7972.06413,192.8572981,97.58083609,0.015944128,102.680186,,,,,,,,
data/processed/summaries/arxiv_salience_tfidf_budget_4096_summaries.json,arxiv,tfidf,4096,0.855275571,0.475664159,0.195212932,0.266562344,7971.750776,3558.695186,55.35867482,0.00711739,45.835994,0.005083759,0.003589229,0.006709599,0,0.004953556,0.003720639,0.006142827,0
data/processed/summaries/arxiv_salience_cosine_budget_4096_summaries.json,arxiv,cosine,4096,0.853610277,0.46913842,0.189134897,0.261647805,7971.750776,3487.217236,56.25531538,0.006974434,44.915358,0.011613791,0.010033899,0.013314238,0,0.009871789,0.008564527,0.011286987,0
data/processed/summaries/arxiv_salience_hybrid_budget_4096_summaries.json,arxiv,hybrid,4096,0.854706287,0.473332215,0.193054059,0.265011454,7971.750776,3501.774068,56.07271017,0.007003548,45.10285,0.007406185,0.005887057,0.009044546,0,0.006508897,0.005189812,0.007810615,0
data/processed/summaries/arxiv_first_k_budget_4096_summaries.json,arxiv,first_k,4096,0.850386679,0.454620745,0.177142655,0.25175975,7971.750776,3654.996118,54.15064745,0.007309992,47.07635,0.02611302,0.024407605,0.027953034,0,0.019758106,0.018169058,0.021263055,0
data/processed/summaries/arxiv_random_k_budget_4096_summaries.json,arxiv,random_k,4096,0.84787643,0.443391375,0.165546242,0.242179409,7971.750776,3521.813354,55.82133144,0.007043627,45.360956,0.037347977,0.035353638,0.039408217,0,0.029332764,0.027561481,0.03099088,0
data/processed/summaries/arxiv_lead_n_budget_4096_summaries.json,arxiv,lead_n,4096,0.850174248,0.453813971,0.176727536,0.251237847,7971.750776,3622.841304,54.55400694,0.007245683,46.662196,0.026928232,0.025222204,0.028738667,0,0.020287755,0.018750873,0.021840619,0
